ENTIDAD,MUNICIPIO,POBTOT,POB_AFRO,POB_AFRO_F,POB_AFRO_M
1,1,2564,18,14,4
1,1,889,4,3,1
1,1,2003,48,26,22
1,1,1636,70,36,34
1,1,808,31,13,18
1,1,793,8,3,5
1,1,810,11,5,6
1,1,1244,9,4,5
1,1,1285,24,16,8
1,1,1117,7,1,6
1,1,1210,3,0,3
1,1,796,7,3,4
1,1,841,5,1,4
1,1,994,11,4,7
1,1,1068,8,2,6
1,1,855,1,0,1
1,1,1026,71,38,33
1,1,1068,19,7,12
1,1,1144,0,0,0
1,1,1204,19,14,5
1,1,1468,12,10,2
1,1,785,9,4,5
1,1,962,31,13,18
1,1,708,17,11,6
1,1,917,48,25,23
1,1,1149,8,5,3
1,1,565,12,4,8
1,1,392,1,1,0
1,1,979,8,4,4
1,1,769,0,0,0
1,1,950,23,11,12
1,1,1341,6,1,5
1,1,931,7,3,4
1,1,824,8,6,2
1,1,2758,100,55,45
1,1,903,0,0,0
1,1,1110,1,0,1
1,1,1441,8,2,6
1,1,812,0,0,0
1,1,1252,10,5,5
1,1,7153,162,75,87
1,1,1543,15,5,10
1,1,2179,36,16,20
1,1,4721,34,15,19
1,1,1564,6,3,3
1,1,1855,90,46,44
1,1,4135,58,33,25
1,1,2450,56,30,26
1,1,1558,6,4,2
1,1,1913,32,17,15
1,1,1144,19,11,8
1,1,1207,4,1,3
1,1,1519,24,13,11
1,1,1212,18,10,8
1,1,1077,7,3,4
1,1,1037,2,0,2
1,1,883,14,5,9
1,1,653,7,3,4
1,1,788,1,1,0
1,1,1075,6,3,3
1,1,815,24,17,7
1,1,816,9,5,4
1,1,613,16,10,6
1,1,958,2,2,0
1,1,615,0,0,0
1,1,841,1,0,1
1,1,560,6,3,3
1,1,713,1,0,1
1,1,960,8,5,3
1,1,699,3,3,0
1,1,987,20,11,9
1,1,494,1,0,1
1,1,893,9,6,3
1,1,461,5,4,1
1,1,620,3,2,1
1,1,481,0,0,0
1,1,558,15,8,7
1,1,826,12,5,7
1,1,746,1,1,0
1,1,10847,234,120,114
1,1,15424,472,229,243
1,1,31611,385,185,200
1,1,2575,7,3,4
1,1,6354,144,69,75
